id,titre,description,enonce,ordre,moduleId,competenceIds,difficulty,weight
e015,Bounded context d'un e-commerce,Identifier les contextes bornés d'une plateforme e-commerce.,Analyser le domaine e-commerce et identifier 4 bounded contexts distincts. Dessiner la context map et justifier les relations entre contextes.,1,m015,c020,0.8,5
e016,Premier conteneur Docker,Conteneuriser une application Node.js simple.,Écrire un Dockerfile pour une API Express. Builder l'image la tagger et la lancer avec les variables d'environnement nécessaires.,1,m016,c016,0.4,2
e017,Optimisation d'un Dockerfile,Réduire la taille et le temps de build d'une image existante.,Partir d'une image de 1.2 Go et la réduire à moins de 200 Mo via multi-stage build .dockerignore et choix d'une image de base alpine.,1,m017,c016,0.6,3
e018,Stack applicative avec Compose,Orchestrer une application avec sa base de données et un cache.,Écrire un docker-compose.yml pour une API une base PostgreSQL et Redis. Configurer les health checks et les dépendances entre services.,1,m018,c016,0.7,4
e019,Déploiement sur Kubernetes,Déployer une application sur un cluster K8s local.,Écrire les manifests Deployment Service et Ingress pour une API REST. Configurer 3 replicas et exposer l'application via Ingress.,1,m019,c016,0.8,5
e020,Autoscaling et gestion des ressources,Configurer le scaling automatique d'un Deployment.,Définir les requests et limits CPU/mémoire. Configurer un HPA sur la métrique CPU avec min 2 et max 10 replicas.,1,m020,c016,0.9,5
e021,Pipeline CI complet,Créer un pipeline CI avec tests lint et build.,Écrire un workflow GitHub Actions qui exécute les tests unitaires le linter la couverture de code et build l'image Docker en parallèle.,1,m021,c017,0.7,4
e022,Déploiement canary,Mettre en place une release canary avec feature flag.,Configurer un déploiement canary à 10% du trafic. Définir les métriques de succès et l'automatisation de la promotion ou du rollback.,1,m022,c017,0.8,5
e023,Dashboard de monitoring,Créer un dashboard Grafana pour une API REST.,Instrumenter une API avec Prometheus. Créer un dashboard avec les métriques RPS latence p95 et taux d'erreur. Configurer une alerte sur le taux d'erreur.,1,m023,c018,0.7,4
e024,Calcul d'error budget,Définir les SLO et calculer l'error budget d'un service.,Pour un service avec SLO de 99.9% de disponibilité calculer l'error budget mensuel. Analyser les incidents du mois et déterminer si le budget est épuisé.,1,m024,c018,0.8,4
e025,Audit de sécurité OWASP,Identifier les vulnérabilités dans une application de démonstration.,Analyser le code d'une application volontairement vulnérable. Identifier les failles OWASP Top 10 documenter leur exploitation et proposer les corrections.,1,m025,c015,0.9,5
e026,Implémentation OAuth 2.0,Intégrer un flux OAuth 2.0 Authorization Code avec PKCE.,Implémenter le flux complet : redirect vers l'IdP échange du code contre un token validation du JWT et gestion du refresh token.,1,m026,c015,0.8,5
e027,Pipeline DevSecOps,Intégrer SAST et SCA dans un pipeline CI.,Ajouter CodeQL pour l'analyse statique et Dependabot pour les CVE dans un pipeline GitHub Actions. Configurer les seuils bloquants.,1,m027,c017,0.8,5
e028,Simulation de partition réseau,Observer les effets du CAP theorem sous partition.,Mettre en place un cluster à 3 nœuds simuler une partition réseau et observer le comportement selon le choix CP ou AP. Documenter les résultats.,1,m028,c007,0.9,5
e029,Implémentation de Raft simplifié,Coder les étapes clés de l'élection de leader Raft.,Implémenter l'élection de leader : election timeout vote request et vote grant. Simuler la perte du leader et observer la réélection.,1,m029,c008,1.0,6
e030,Event Sourcing pour un compte bancaire,Implémenter un aggregate bancaire en Event Sourcing.,Modéliser BankAccount avec les événements AccountOpened MoneyDeposited MoneyWithdrawn. Implémenter rebuild depuis l'historique des événements.,1,m030,c010,0.9,5
e031,Context Map d'un ERP,Cartographier les relations entre contextes d'un ERP simplifié.,Analyser un ERP avec les modules Ventes Stock Finance et RH. Identifier les intégrations existantes les classer en patterns DDD et proposer des ACL là où c'est nécessaire.,1,m031,c020,0.8,5
e032,Agrégat Commande e-commerce,Modéliser l'agrégat Order avec ses invariants.,Implémenter Order avec les items le statut et les règles : pas d'item en doublon montant positif transition de statut valide. Écrire 10 tests couvrant les cas limites.,1,m032,c020,0.7,4
e033,Event Storming d'une librairie en ligne,Conduire un Event Storming sur un domaine fictif.,À partir du scénario d'une librairie en ligne identifier tous les domain events les commands et les agrégats. Produire un diagramme et identifier 3 bounded contexts.,1,m033,c020,0.6,3
e034,Circuit Breaker sur appel HTTP,Implémenter un circuit breaker autour d'un appel HTTP externe.,Écrire un HttpClient avec circuit breaker. Simuler des timeouts répétés observer la transition vers l'état open et le retour en half-open après le délai configuré.,1,m034,c018,0.8,4
e035,Trace distribuée multi-services,Instrumenter deux services communicants avec OpenTelemetry.,Ajouter la propagation du contexte de trace entre un service A et un service B via HTTP. Visualiser la trace complète dans Jaeger avec les spans enfants.,1,m035,c018,0.8,4
e036,Expérience de Chaos Engineering,Concevoir et exécuter une expérience de chaos contrôlée.,Définir l'hypothèse de résilience. Injecter une latence de 500ms sur 30% des appels à la base de données. Observer l'impact mesurer les métriques et tirer les conclusions.,1,m036,c018,0.9,5
